 
 THIS IS FOR STATION NUMBER 7312 1951-> 1998
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
 11 39   1  45   4  35   2  40   2  39   4  35   7  37   8  42  12  41   5  49   6  40   4  42   5
 12 30   1  41   4  40   3  44   4  43   6  39   5  30  13  36   6  42   8  45   8  43   3  41   3
 13 33   1  44   5  37   4  44   7  42   7  40  13  39  12  35   6  39   7  45   6  33   4  41   4
 14 43   6  35   6  38   5  40   4  40   5  34   8  34   9  40   8  36   5  42  11  34   7  32   1
 15 43   3  34   2  46   4  40   3  42   8  35   7  32   8  36  12  43   8  40   4  36   3  43   3
 16 33   8  40   2  38   2  41   5  45   3  35   8  32  12  38  10  45   7  37   3  40   5  51   7
 17 30   5  38   2  40   3  45   6  40   6  38   8  38  10  36  10  39   8  37   6  37   3  29   4
 18 47   6  40   3  34   2  43   6  40   6  43   7  32  12  35   9  44   7  41   6  38   3  40   4
 19 35   5  36   4  40   2  50   4  40   3  33  11  32  11  33   9  38   7  47   2  42   6  30   6
 20 45   2  38   4  34   7  42   5  39  10  32   8  29  11  38   5  43   5  49   6  37   3  32   4
 21 36   2  49   4  36   6  44   4  38   9  37   9  35   4  36   8  39   6  39   5  32   4  43   5
 22 39   2  42   3  40   4  41   3  37   4  36   9  35   8  39   9  49   8  46   6  40   4  39   4
 23 36   4  39   5  49   3  51   7  42  10  38   8  36   7  42   9  45   6  42   3  34   3  34   4
 24 37   6  45   6  50   4  39   9  39   9  39   8  38   8  34   5  41   6  43   6  33   5  45   4
 25 44   2  39   4  42   2  41   8  45   4  34  12  38  13  38   9  39   7  43   8  40   3  33   2
 26 39   3  38   4  44   4  48  10  34   7  32   7  38   8  36   3  39   7  47   6  30   4  43   3
 27 38   3  34   4  46   5  42   7  37   6  36   6  36  12  35   7  41   9  43   7  37   3  36   6
 28 39   5  37   4  45   4  40   6  36   6  37   6  36   6  40   6  43   6  42   6  38   3  40   2
 29 39   9  **  **  47   5  47   8  36   3  39  13  34  13  44   7  45   7  40   5  32   3  45   3
 30 34   2  **  **  50   6  47   4  38   5  32   6  35   9  34   6  49   6  42   7  32   3  32   2
